RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,1,Henrik Stenson,16,1.96,110,56
2,2,Rickie Fowler,20,1.99,147,74
3,3,Webb Simpson,26,2.02,186,92
4,4,Dustin Johnson,20,2.04,151,74
5,5,Brooks Koepka,17,2.11,131,62
6,6,Johnson Wagner,21,2.12,146,69
7,7,Kevin Streelman,27,2.14,197,92
8,8,Justin Thomas,23,2.17,178,82
9,9,Justin Rose,18,2.21,146,66
10,10,Jordan Spieth,23,2.22,169,76
11,11,Tiger Woods,18,2.25,153,68
T12,T12,Hideki Matsuyama,21,2.26,163,72
T12,T12,Ryan Moore,22,2.26,176,78
14,14,Chris Kirk,29,2.27,241,106
T15,T15,Chez Reavie,28,2.28,196,86
T15,T15,Sam Ryder,26,2.28,182,80
T17,T17,Billy Horschel,27,2.29,188,82
T17,T17,William McGirt,26,2.29,179,78
T19,T19,Beau Hossler,28,2.30,239,104
T19,T19,Matt Kuchar,24,2.30,184,80
T21,T21,Joel Dahmen,28,2.31,196,85
T21,T21,Rory McIlroy,18,2.31,141,61
23,23,Byeong Hun An,24,2.32,195,84
T24,T24,Charles Howell III,28,2.33,233,100
T24,T24,Zach Johnson,25,2.33,203,87
T24,T24,Andrew Putnam,28,2.33,207,89
T27,T27,Zac Blair,20,2.34,136,58
T27,T27,Emiliano Grillo,25,2.34,215,92
T29,T29,Tony Finau,28,2.35,230,98
T29,T29,Tyrrell Hatton,16,2.35,127,54
T29,T29,C.T. Pan,30,2.35,230,98
32,32,Steve Wheatcroft,20,2.36,137,58
33,33,Nate Lashley,17,2.38,112,47
T34,T34,Kevin Kisner,25,2.40,187,78
T34,T34,Cameron Percy,16,2.40,120,50
T36,T36,Abraham Ancer,30,2.41,231,96
T36,T36,Hunter Mahan,21,2.41,152,63
T36,T36,Denny McCarthy,22,2.41,152,63
T36,T36,Seamus Power,28,2.41,188,78
T40,T40,Patton Kizzire,29,2.42,215,89
T40,T40,Danny Lee,30,2.42,208,86
T40,T40,Kevin Na,26,2.42,208,86
T43,T43,FabiÃ¡n GÃ³mez,28,2.43,204,84
T43,T43,Michael Thompson,19,2.43,141,58
T45,T45,Jonathan Byrd,24,2.44,151,62
T45,T45,Paul Casey,20,2.44,173,71
T45,T45,Bryson DeChambeau,26,2.44,227,93
48,48,Alex Noren,18,2.45,147,60
T49,T49,Alex Cejka,24,2.46,170,69
T49,T49,Ben Crane,21,2.46,145,59
T49,T49,Francesco Molinari,20,2.46,172,70
T49,T49,Brett Stegmaier,21,2.46,150,61
T53,T53,Austin Cook,29,2.47,264,107
T53,T53,Jason Day,20,2.47,168,68
T53,T53,Russell Knox,27,2.47,222,90
T53,T53,Rory Sabbatini,27,2.47,220,89
T57,T57,J.T. Poston,22,2.48,176,71
T57,T57,Conrad Shindler,20,2.48,139,56
T57,T57,Brian Stuard,32,2.48,241,97
T60,T60,Brian Gay,30,2.49,251,101
T60,T60,James Hahn,26,2.49,204,82
T60,T60,Phil Mickelson,24,2.49,217,87
T60,T60,Keith Mitchell,29,2.49,242,97
T60,T60,Nick Taylor,30,2.49,224,90
T60,T60,Nick Watney,26,2.49,224,90
T66,T66,Patrick Reed,26,2.50,215,86
T66,T66,Brandt Snedeker,25,2.50,205,82
T66,T66,Scott Stallings,30,2.50,225,90
69,69,Blayne Barber,22,2.51,168,67
70,70,Matt Jones,23,2.52,156,62
T71,T71,Patrick Cantlay,23,2.54,203,80
T71,T71,Peter Malnati,28,2.54,211,83
T71,T71,Ben Silverman,28,2.54,213,84
74,74,Jon Rahm,20,2.55,168,66
T75,T75,Jason Kokrak,29,2.56,253,99
T75,T75,Jamie Lovemark,26,2.56,225,88
T75,T75,Louis Oosthuizen,17,2.56,138,54
T78,T78,Rafa Cabrera Bello,20,2.57,180,70
T78,T78,Luke List,29,2.57,244,95
T78,T78,Bubba Watson,24,2.57,203,79
T81,T81,Ryan Armour,32,2.58,276,107
T81,T81,Adam Hadwin,25,2.58,230,89
T81,T81,Cameron Smith,24,2.58,201,78
T81,T81,J.J. Spaun,27,2.58,204,79
T81,T81,Kyle Stanley,26,2.58,227,88
T86,T86,Bronson Burgoon,24,2.59,179,69
T86,T86,Russell Henley,23,2.59,192,74
T86,T86,Andrew Landry,27,2.59,207,80
T86,T86,Gary Woodland,27,2.59,236,91
T90,T90,Chesson Hadley,30,2.60,257,99
T90,T90,Pat Perez,23,2.60,195,75
T90,T90,Harold Varner III,27,2.60,231,89
T93,T93,Keegan Bradley,27,2.61,243,93
T93,T93,Tommy Fleetwood,19,2.61,172,66
T93,T93,Lucas Glover,18,2.61,159,61
T93,T93,Shawn Stefani,25,2.61,193,74
T93,T93,Vaughn Taylor,25,2.61,206,79
T93,T93,Xinjun Zhang,28,2.61,196,75
T99,T99,Daniel Berger,23,2.62,199,76
T99,T99,Brice Garnett,30,2.62,249,95
T101,T101,Aaron Baddeley,27,2.63,205,78
T101,T101,Ben Martin,20,2.63,168,64
T101,T101,Graeme McDowell,20,2.63,155,59
104,104,Ian Poulter,20,2.64,169,64
T105,T105,Corey Conners,28,2.65,246,93
T105,T105,Tyrone Van Aswegen,31,2.65,246,93
T107,T107,Bill Haas,25,2.66,197,74
T107,T107,Marc Leishman,25,2.66,239,90
T107,T107,Aaron Wise,29,2.66,234,88
T110,T110,Scott Brown,32,2.67,262,98
T110,T110,J.J. Henry,28,2.67,200,75
T110,T110,Whee Kim,30,2.67,238,89
T110,T110,Adam Scott,21,2.67,208,78
T110,T110,Kevin Tway,31,2.67,278,104
T110,T110,Richy Werenski,32,2.67,246,92
T116,T116,Stephan Jaeger,26,2.68,201,75
T116,T116,Martin Laird,22,2.68,174,65
T116,T116,Chris Stroud,27,2.68,196,73
T116,T116,Jimmy Walker,23,2.68,206,77
120,120,Stewart Cink,25,2.69,234,87
T121,T121,Sean O'Hair,22,2.70,170,63
T121,T121,Patrick Rodgers,30,2.70,251,93
T123,T123,Brian Harman,25,2.71,244,90
T123,T123,John Huh,29,2.71,244,90
T123,T123,Rob Oppenheim,26,2.71,184,68
T123,T123,Scott Piercy,26,2.71,217,80
T123,T123,Adam Schenk,28,2.71,217,80
T128,T128,Branden Grace,18,2.72,174,64
T128,T128,Kelly Kraft,31,2.72,250,92
T130,T130,Wesley Bryan,23,2.73,183,67
T130,T130,David Hearn,21,2.73,164,60
T130,T130,Tom Hoge,31,2.73,254,93
T130,T130,Shane Lowry,19,2.73,153,56
T134,T134,Sam Saunders,26,2.74,203,74
T134,T134,Xander Schauffele,27,2.74,255,93
T136,T136,Jason Dufner,22,2.75,176,64
T136,T136,Jim Furyk,15,2.75,132,48
T136,T136,Talor Gooch,27,2.75,198,72
T139,T139,Ricky Barnes,22,2.76,163,59
T139,T139,Lanto Griffin,26,2.76,204,74
T139,T139,Charley Hoffman,25,2.76,221,80
T139,T139,David Lingmerth,26,2.76,215,78
T139,T139,Cameron Tringale,26,2.76,174,63
T139,T139,Jhonattan Vegas,27,2.76,246,89
145,145,Anirban Lahiri,24,2.77,227,82
T146,T146,Roberto DÃ­az,25,2.78,189,68
T146,T146,Ryan Palmer,22,2.78,175,63
T148,T148,Bud Cauley,17,2.79,148,53
T148,T148,J.B. Holmes,24,2.79,209,75
T148,T148,Peter Uihlein,26,2.79,218,78
151,151,Kevin Chappell,23,2.80,207,74
152,152,Harris English,31,2.81,219,78
153,153,Brandon Harkins,30,2.82,268,95
T154,T154,Si Woo Kim,31,2.83,294,104
T154,T154,Nicholas Lindheim,26,2.83,195,69
T154,T154,Trey Mullinax,24,2.83,195,69
T157,T157,Tyler Duncan,31,2.85,265,93
T157,T157,Tom Lovelady,28,2.85,231,81
T157,T157,Troy Merritt,27,2.85,242,85
T157,T157,Jonathan Randolph,25,2.85,185,65
T157,T157,Hudson Swafford,22,2.85,191,67
162,162,Ollie Schniederjans,27,2.86,249,87
163,163,Mackenzie Hughes,28,2.87,218,76
164,164,Dominic Bozzelli,20,2.88,187,65
T165,T165,Martin Flores,29,2.91,250,86
T165,T165,Sung Kang,29,2.91,247,85
T165,T165,Ethan Tracy,23,2.91,198,68
168,168,Ryan Blaum,28,2.92,228,78
T169,T169,Chad Campbell,28,2.94,232,79
T169,T169,Cody Gribble,25,2.94,191,65
T171,T171,Derek Fathauer,28,2.96,237,80
T171,T171,Robert Garrigus,27,2.96,225,76
T173,T173,Martin Piller,28,2.97,229,77
T173,T173,Charl Schwartzel,20,2.97,172,58
T173,T173,Brendan Steele,22,2.97,199,67
T173,T173,Robert Streb,29,2.97,220,74
T177,T177,Matt Atkins,21,2.98,155,52
T177,T177,Jonas Blixt,23,2.98,182,61
179,179,"Ted Potter, Jr.",28,2.99,260,87
T180,T180,Michael Kim,27,3.00,210,70
T180,T180,Rod Pampling,20,3.00,174,58
182,182,Grayson Murray,22,3.01,217,72
183,183,Matt Every,30,3.05,229,75
184,184,Retief Goosen,20,3.08,160,52
185,185,Kiradech Aphibarnrat,14,3.13,144,46
186,186,Billy Hurley III,27,3.17,203,64
187,187,Daniel Summerhays,19,3.24,146,45
188,188,D.A. Points,25,3.30,201,61
189,189,Zecheng Dou,23,3.37,165,49
190,190,Greg Chalmers,20,3.40,177,52
191,191,Kyle Thompson,22,3.41,157,46
192,192,Andrew Yun,22,3.91,176,45
193,193,Satoshi Kodaira,18,3.94,189,48
