RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 4 BIRDIES OR BETTER,PAR 4 HOLES
1,1,Phil Mickelson,47,22.06,103,467
2,2,Justin Thomas,55,21.40,122,570
3,3,Rafa Cabrera Bello,61,21.23,128,603
4,4,Patrick Cantlay,57,21.04,117,556
5,5,Gary Woodland,67,20.67,142,687
6,6,Ryan Palmer,56,20.60,116,563
7,7,Rory McIlroy,54,20.52,110,536
8,8,Matt Every,38,20.39,74,363
9,9,Xander Schauffele,59,20.30,121,596
10,10,Brooks Koepka,57,20.26,111,548
11,11,Andrew Putnam,65,19.69,127,645
12,12,Abraham Ancer,77,19.62,153,780
13,13,Jordan Spieth,63,19.41,126,649
14,14,Rickie Fowler,58,19.39,121,624
15,15,Aaron Wise,56,19.23,110,572
16,16,Talor Gooch,37,19.20,77,401
17,17,Wyndham Clark,65,19.17,129,673
18,18,Justin Rose,46,19.14,85,444
19,19,Dominic Bozzelli,55,19.13,110,575
20,20,Bryson DeChambeau,53,19.05,104,546
21,21,Keith Mitchell,66,19.02,128,673
22,22,Jason Day,53,19.01,96,505
23,23,Dustin Johnson,51,18.98,97,511
24,24,Si Woo Kim,69,18.87,127,673
25,25,Troy Merritt,45,18.83,84,446
26,26,Jason Kokrak,70,18.82,131,696
27,27,Jonathan Byrd,43,18.79,81,431
T28,T28,Charles Howell III,68,18.71,130,695
T28,T28,Scott Piercy,74,18.71,142,759
30,30,Tiger Woods,35,18.67,59,316
31,31,Hideki Matsuyama,63,18.59,119,640
32,32,Brandon Harkins,71,18.55,133,717
33,33,Byeong Hun An,60,18.49,113,611
34,34,Chez Reavie,75,18.47,135,731
35,35,Matt Kuchar,69,18.37,124,675
36,36,Vaughn Taylor,73,18.31,139,759
37,37,Webb Simpson,57,18.29,109,596
38,38,Sungjae Im,92,18.26,172,942
T39,T39,David Hearn,41,18.25,71,389
T39,T39,Jon Rahm,55,18.25,92,504
41,41,Aaron Baddeley,55,18.20,105,577
42,42,Beau Hossler,69,18.14,133,733
T43,T43,J.B. Holmes,58,18.10,97,536
T43,T43,Adam Scott,45,18.10,82,453
45,45,Jonas Blixt,68,18.05,128,709
46,46,Tyrrell Hatton,50,18.03,88,488
T47,T47,Johnson Wagner,45,17.94,82,457
T47,T47,Chase Wright,55,17.94,103,574
T49,T49,Danny Lee,68,17.92,129,720
T49,T49,Matt Wallace,35,17.92,62,346
51,51,Sam Burns,70,17.90,131,732
52,52,Sam Ryder,56,17.86,105,588
53,53,Hank Lebioda,59,17.83,105,589
54,54,Curtis Luck,53,17.81,91,511
55,55,Kevin Kisner,73,17.80,118,663
56,56,Nate Lashley,48,17.79,87,489
57,57,Louis Oosthuizen,51,17.75,82,462
58,58,"Ted Potter, Jr.",56,17.74,102,575
59,59,Ian Poulter,51,17.72,84,474
60,60,Cameron Champ,60,17.69,112,633
61,61,Roger Sloan,64,17.59,121,688
T62,T62,Cameron Tringale,55,17.50,94,537
T62,T62,Jhonattan Vegas,62,17.50,112,640
64,64,Harold Varner III,66,17.49,121,692
65,65,Jason Dufner,60,17.47,109,624
66,66,Ryan Moore,58,17.38,106,610
67,67,Brian Stuard,82,17.37,144,829
68,68,Corey Conners,62,17.29,107,619
T69,T69,Haotong Li,36,17.26,58,336
T69,T69,Rory Sabbatini,75,17.26,130,753
T71,T71,Joaquin Niemann,72,17.20,130,756
T71,T71,Nick Watney,71,17.20,123,715
73,73,Kyoung-Hoon Lee,78,17.19,136,791
74,74,Brandt Snedeker,76,17.16,134,781
75,75,Scott Brown,70,17.15,123,717
T76,T76,Jim Furyk,57,17.11,96,561
T76,T76,Hunter Mahan,47,17.11,84,491
T76,T76,Cameron Smith,61,17.11,103,602
79,79,Keegan Bradley,71,17.10,118,690
80,80,Adam Hadwin,68,17.08,117,685
81,81,Bud Cauley,63,17.01,115,676
82,82,Tommy Fleetwood,51,16.99,80,471
83,83,Peter Uihlein,67,16.93,117,691
84,84,Patrick Reed,61,16.92,101,597
T85,T85,Jim Herman,40,16.90,73,432
T85,T85,Nick Taylor,77,16.90,132,781
87,87,Luke List,54,16.85,92,546
88,88,Sepp Straka,54,16.82,92,547
89,89,Russell Henley,58,16.81,98,583
90,90,Tony Finau,65,16.80,108,643
91,91,Kevin Streelman,67,16.79,116,691
92,92,Peter Malnati,68,16.76,116,692
T93,T93,Cameron Davis,58,16.75,100,597
T93,T93,J.T. Poston,78,16.75,133,794
95,95,Sangmoon Bae,46,16.70,79,473
96,96,Adam Schenk,82,16.69,142,851
T97,T97,Whee Kim,59,16.67,98,588
T97,T97,Marc Leishman,60,16.67,100,600
99,99,Lucas Glover,66,16.64,109,655
100,100,Joel Dahmen,84,16.59,142,856
101,101,Sergio Garcia,43,16.58,61,368
102,102,Andrew Landry,60,16.56,99,598
103,103,J.J. Spaun,72,16.55,121,731
104,104,Ollie Schniederjans,67,16.50,115,697
T105,T105,Brice Garnett,65,16.49,112,679
T105,T105,Graeme McDowell,65,16.49,108,655
107,107,Carlos Ortiz,66,16.47,113,686
108,108,JosÃ© de JesÃºs RodrÃ­guez,53,16.46,93,565
T109,T109,Trey Mullinax,69,16.45,115,699
T109,T109,Pat Perez,52,16.45,87,529
T109,T109,Josh Teater,51,16.45,87,529
T112,T112,Austin Cook,52,16.44,84,511
T112,T112,C.T. Pan,70,16.44,119,724
114,114,Charley Hoffman,60,16.35,96,587
115,115,Denny McCarthy,65,16.26,106,652
116,116,Russell Knox,69,16.24,108,665
117,117,Scott Stallings,65,16.22,103,635
T118,T118,Brian Gay,81,16.21,135,833
T118,T118,SebastiÃ¡n MuÃ±oz,60,16.21,101,623
120,120,Daniel Berger,54,16.16,96,594
T121,T121,John Chin,40,16.15,68,421
T121,T121,Kramer Hickok,63,16.15,109,675
123,123,Emiliano Grillo,73,16.14,122,756
124,124,Martin Laird,64,16.12,104,645
125,125,Matt Jones,72,16.09,116,721
126,126,Michael Thompson,56,16.08,96,597
127,127,Grayson Murray,36,16.04,60,374
128,128,Richy Werenski,67,16.02,112,699
129,129,Paul Casey,59,16.01,94,587
130,130,Brian Harman,71,16.00,120,750
131,131,Jim Knous,57,15.99,90,563
T132,T132,Anders Albertson,50,15.98,82,513
T132,T132,Ryan Armour,70,15.98,120,751
T134,T134,FabiÃ¡n GÃ³mez,46,15.95,78,489
T134,T134,Mackenzie Hughes,62,15.95,100,627
T136,T136,Patton Kizzire,62,15.94,103,646
T136,T136,Shawn Stefani,60,15.94,95,596
138,138,Ben Crane,41,15.91,70,440
139,139,Tyler Duncan,70,15.87,116,731
140,140,Chesson Hadley,64,15.83,104,657
T141,T141,Alex Prugh,62,15.81,98,620
T141,T141,Brady Schnell,42,15.81,71,449
T141,T141,Brendan Steele,54,15.81,86,544
144,144,Roberto Castro,56,15.79,87,551
145,T145,Roberto DÃ­az,55,15.77,85,539
146,147,Adam Long,56,15.75,95,603
147,148,Satoshi Kodaira,53,15.73,84,534
148,149,Sung Kang,70,15.72,114,725
149,150,Anirban Lahiri,58,15.69,91,580
150,151,Scott Langley,64,15.65,105,671
151,152,Ryan Blaum,71,15.64,112,716
152,153,Patrick Rodgers,44,15.63,73,467
153,154,Tom Hoge,77,15.58,122,783
154,155,Kevin Na,56,15.57,85,546
155,156,Adam Svensson,53,15.53,84,541
156,157,Kiradech Aphibarnrat,53,15.49,83,536
157,158,Harris English,79,15.42,128,830
158,159,Seth Reeves,56,15.37,89,579
159,160,Chris Stroud,56,15.33,84,548
160,161,Kelly Kraft,69,15.16,106,699
161,162,Matthew Fitzpatrick,46,15.10,69,457
162,163,John Huh,35,15.01,56,373
163,164,Bubba Watson,53,14.86,74,498
164,165,Francesco Molinari,49,14.85,68,458
165,166,Kevin Tway,66,14.84,100,674
166,167,Bronson Burgoon,41,14.80,66,446
167,168,Zach Johnson,54,14.75,87,590
168,169,Chris Thompson,36,14.70,56,381
169,170,Ben Silverman,56,14.59,88,603
170,171,Joey Garber,46,14.54,65,447
171,172,Martin Trainer,53,14.52,81,558
172,173,Alex Noren,51,14.48,75,518
173,174,Rod Pampling,42,14.45,62,429
174,176,Hudson Swafford,59,14.33,88,614
175,177,Chris Kirk,47,14.29,68,476
176,178,Robert Streb,64,14.17,91,642
177,179,Ernie Els,45,14.16,65,459
178,180,Henrik Stenson,50,14.06,63,448
179,181,Max Homa,63,14.00,92,657
180,182,Sam Saunders,59,13.97,88,630
181,183,Kyle Jones,51,13.96,73,523
T182,T184,JuliÃ¡n Etulain,59,13.94,81,581
T182,T184,Danny Willett,51,13.94,75,538
184,186,Branden Grace,64,13.92,82,589
185,187,Billy Horschel,77,13.90,104,748
186,188,Bill Haas,58,13.86,80,577
187,189,Dylan Frittelli,57,13.85,81,585
188,190,Stephan Jaeger,63,13.81,88,637
189,191,John Senden,39,13.72,52,379
T190,T192,Freddie Jacobson,41,13.54,57,421
T190,T192,Michael Kim,53,13.54,73,539
192,194,Seamus Power,62,13.44,84,625
T193,T195,Cody Gribble,58,13.33,78,585
T193,T195,Kyle Stanley,61,13.33,80,600
195,198,Wes Roach,47,13.07,63,482
196,199,J.J. Henry,44,12.99,56,431
197,200,Lucas Bjerregaard,39,12.93,45,348
198,201,Jimmy Walker,63,12.92,88,681
199,202,Martin Kaymer,42,12.61,57,452
200,203,Alex Cejka,44,12.41,52,419
